id,age,status,gender,drinks,drugs,education,ethnicity,income,last_online,location,offspring,smokes,city,country,age_group,state,messages_sent,profile_completion,account_age,preferred_age_range,relationship_intent,work_industry,self_rated_attractiveness
41,30,single,m,often,never,graduated from masters program,,-1,29/06/2012,"menlo park, california",doesn't have kids,no,, california,25-34,california,58,83,7,25-35,Casual,Education,10
42,35,single,m,,,graduated from college/university,"black,white",-1,30/06/2012,"oakland, california","doesn't have kids, but wants them",no,, california,35-44,california,169,69,9,30-40,Serious,Healthcare,7
43,30,single,m,often,sometimes,graduated from masters program,white,-1,19/03/2012,"berkeley, california",,no,, california,25-34,california,475,95,9,25-35,Marriage,Retail,2
44,40,single,m,socially,,graduated from college/university,white,60000,30/06/2012,"san francisco, california",doesn't have kids,no,, california,35-44,california,187,96,2,35-45,Casual,Education,8
45,29,single,f,socially,sometimes,graduated from masters program,white,-1,10/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,463,51,9,24-34,Serious,Finance,9
46,27,single,m,socially,never,college/university,pacificislander,-1,28/06/2012,"oakland, california",doesn't have kids,,, california,25-34,california,270,77,5,22-32,Marriage,Finance,4
47,27,single,m,socially,,graduated from masters program,,-1,29/06/2012,"san francisco, california",,,, california,25-34,california,189,67,6,22-32,Marriage,Other,8
48,28,single,m,often,sometimes,,white,-1,25/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,445,93,1,23-33,Casual,Tech,4
49,31,single,f,socially,sometimes,dropped out of space camp,,1000000,30/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,174,88,7,26-36,Marriage,Tech,10
50,26,single,f,socially,never,graduated from college/university,white,-1,28/06/2012,"belmont, california",doesn't have kids,no,, california,25-34,california,445,97,8,21-31,Marriage,Retail,8
51,33,single,f,often,sometimes,graduated from college/university,white,-1,27/06/2012,"oakland, california",,no,, california,25-34,california,50,100,5,28-38,Serious,Other,6
52,38,single,f,socially,never,graduated from college/university,,-1,23/03/2012,"oakland, california",wants kids,no,, california,35-44,california,363,84,6,33-43,Serious,Retail,8
53,31,single,m,socially,,graduated from college/university,white,-1,23/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,54,64,4,26-36,Serious,Finance,9
54,36,single,m,socially,,graduated from college/university,"asian,nativeamerican",-1,20/06/2012,"oakland, california",,,, california,35-44,california,243,96,3,31-41,Serious,Healthcare,1
55,33,single,m,rarely,never,graduated from college/university,white,-1,25/06/2012,"menlo park, california",,no,, california,25-34,california,319,88,3,28-38,Marriage,Healthcare,1
56,33,single,m,socially,never,graduated from college/university,white,-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,130,89,2,28-38,Marriage,Tech,1
57,26,single,m,socially,,working on college/university,white,-1,29/06/2012,"berkeley, california",,no,, california,25-34,california,484,88,6,21-31,Marriage,Healthcare,5
58,21,single,m,socially,,working on college/university,white,-1,29/06/2012,"san francisco, california",,when drinking,, california,18-24,california,306,52,9,18-26,Marriage,Finance,2
59,22,single,m,socially,sometimes,working on college/university,"hispani,white",-1,13/10/2011,"san francisco, california",,sometimes,, california,18-24,california,134,68,3,18-27,Marriage,Retail,1
60,31,single,m,socially,,graduated from college/university,,-1,05/06/2012,"san francisco, california",,when drinking,, california,25-34,california,20,72,1,26-36,Casual,Finance,10
61,31,seeing someone,m,socially,never,working on college/university,"asian,pacificislander",-1,07/05/2012,"san francisco, california",,no,, california,25-34,california,328,68,1,26-36,Marriage,Tech,7
62,35,single,m,socially,,,white,-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,35-44,california,166,67,4,30-40,Marriage,Healthcare,9
63,31,single,m,socially,sometimes,graduated from masters program,white,-1,29/06/2012,"san francisco, california",doesn't have kids,when drinking,, california,25-34,california,273,79,1,26-36,Marriage,Education,1
64,28,single,f,socially,,working on masters program,white,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",sometimes,, california,25-34,california,387,88,2,23-33,Serious,Retail,5
65,28,single,m,socially,never,graduated from college/university,hispani,-1,27/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,88,68,4,23-33,Casual,Education,1
66,29,single,m,socially,never,graduated from ph.d program,white,-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,315,54,4,24-34,Marriage,Retail,2
67,22,single,m,rarely,never,working on college/university,asian,20000,30/06/2012,"san jose, california",,no,, california,18-24,california,13,62,8,18-27,Serious,Education,4
68,30,single,f,rarely,sometimes,working on college/university,"black,nativeamerican,white",-1,28/05/2012,"san francisco, california",,sometimes,, california,25-34,california,241,83,4,25-35,Marriage,Healthcare,10
69,31,single,f,socially,,,"middleeastern,other",-1,09/05/2012,"palo alto, california",doesn't want kids,sometimes,, california,25-34,california,264,73,3,26-36,Marriage,Retail,6
70,29,single,m,socially,sometimes,working on masters program,white,-1,26/04/2012,"berkeley, california",,no,, california,25-34,california,345,67,4,24-34,Marriage,Tech,2
71,25,single,f,rarely,never,graduated from college/university,white,-1,28/06/2012,"belmont, california",,no,, california,25-34,california,52,53,5,20-30,Casual,Other,9
72,33,single,f,socially,,graduated from college/university,white,-1,15/02/2012,"san francisco, california",,no,, california,25-34,california,385,85,5,28-38,Casual,Finance,10
73,35,single,m,socially,sometimes,graduated from space camp,"nativeamerican,white",150000,29/06/2012,"emeryville, california","doesn't have kids, but might want them",no,, california,35-44,california,339,57,4,30-40,Serious,Finance,3
74,31,single,f,socially,never,graduated from law school,indian,50000,29/06/2012,"oakland, california","doesn't have kids, but might want them",no,, california,25-34,california,91,92,2,26-36,Serious,Other,7
75,28,single,m,,,graduated from masters program,white,-1,28/06/2012,"oakland, california",,,, california,25-34,california,366,50,3,23-33,Marriage,Other,10
76,29,available,f,socially,,graduated from college/university,,-1,28/06/2012,"oakland, california",doesn't have kids,,, california,25-34,california,443,90,3,24-34,Serious,Other,9
77,26,single,m,often,sometimes,working on ph.d program,white,-1,28/06/2012,"berkeley, california","doesn't have kids, but might want them",no,, california,25-34,california,454,87,5,21-31,Marriage,Healthcare,8
78,25,seeing someone,f,socially,never,working on college/university,white,-1,20/10/2011,"san francisco, california",,no,, california,25-34,california,427,85,2,20-30,Serious,Healthcare,4
79,34,single,f,socially,never,graduated from college/university,white,-1,26/06/2012,"san francisco, california",doesn't have kids,no,, california,35-44,california,263,87,2,29-39,Casual,Healthcare,5
80,21,single,m,rarely,never,working on college/university,white,20000,20/12/2011,"san francisco, california",,no,, california,18-24,california,430,62,2,18-26,Marriage,Healthcare,3
81,28,single,f,often,never,graduated from masters program,white,-1,24/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,34,71,6,23-33,Serious,Healthcare,8
82,31,single,m,socially,never,graduated from masters program,white,-1,29/06/2012,"san francisco, california",,no,, california,25-34,california,205,78,8,26-36,Casual,Healthcare,5
83,34,single,m,socially,never,graduated from masters program,white,100000,28/06/2012,"san francisco, california",,no,, california,35-44,california,80,58,6,29-39,Marriage,Healthcare,7
84,32,single,f,socially,never,graduated from college/university,"asian,white",-1,25/02/2012,"san francisco, california",,no,, california,25-34,california,419,76,4,27-37,Casual,Healthcare,5
85,30,single,m,socially,never,graduated from college/university,,-1,25/12/2011,"san francisco, california",,no,, california,25-34,california,49,95,8,25-35,Marriage,Healthcare,4
86,28,single,m,socially,,graduated from college/university,white,-1,21/04/2012,"palo alto, california",,no,, california,25-34,california,359,93,4,23-33,Serious,Healthcare,7
87,40,single,f,socially,,college/university,,-1,06/06/2012,"san francisco, california",,no,, california,35-44,california,387,53,9,35-45,Serious,Healthcare,7
88,27,single,f,often,never,graduated from college/university,,-1,26/06/2012,"san francisco, california",,no,, california,25-34,california,1,89,8,22-32,Serious,Healthcare,9
89,43,single,m,socially,never,two-year college,,-1,29/06/2012,"oakland, california",doesn't have kids,no,, california,35-44,california,389,66,4,38-48,Casual,Healthcare,4
90,37,single,f,socially,never,graduated from college/university,,-1,30/03/2012,"san francisco, california",,no,, california,35-44,california,53,86,7,32-42,Casual,Healthcare,7
91,24,single,m,socially,never,graduated from college/university,black,-1,27/01/2012,"san francisco, california",,yes,, california,25-34,california,105,52,9,19-29,Serious,Healthcare,2
92,29,single,m,,,graduated from college/university,white,-1,27/10/2011,"san rafael, california",,,, california,25-34,california,259,53,6,24-34,Casual,Healthcare,10
93,29,available,f,,sometimes,graduated from two-year college,white,50000,27/07/2011,"el granada, california",,,, california,25-34,california,309,89,1,24-34,Marriage,Healthcare,3
94,28,single,m,socially,,graduated from college/university,"hispani,white",-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,25-34,california,476,65,6,23-33,Serious,Healthcare,1
95,29,single,m,socially,sometimes,graduated from college/university,white,40000,28/05/2012,"san francisco, california",doesn't want kids,no,, california,25-34,california,190,60,8,24-34,Marriage,Healthcare,3
96,25,single,m,socially,,graduated from college/university,white,80000,26/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,401,76,9,20-30,Marriage,Healthcare,2
97,34,single,m,very often,,dropped out of space camp,white,-1,29/06/2012,"san francisco, california",,no,, california,35-44,california,217,75,1,29-39,Serious,Healthcare,9
98,39,single,m,socially,never,graduated from college/university,asian,-1,16/05/2012,"san francisco, california",doesn't have kids,no,, california,35-44,california,43,80,5,34-44,Serious,Healthcare,2
99,31,single,f,socially,sometimes,graduated from masters program,white,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,161,83,5,26-36,Marriage,Healthcare,2
100,46,single,m,socially,never,,black,-1,24/06/2012,"castro valley, california",has a kid,no,, california,45-54,california,201,57,8,41-51,Casual,Healthcare,6
101,38,single,m,socially,,working on masters program,white,-1,29/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,35-44,california,445,88,7,33-43,Marriage,Healthcare,7
102,30,single,m,socially,never,graduated from college/university,,-1,18/06/2012,"daly city, california",,no,, california,25-34,california,483,50,5,25-35,Casual,Healthcare,9
103,41,single,m,socially,often,working on space camp,white,1000000,28/06/2012,"fairfax, california",,no,, california,35-44,california,269,51,6,36-46,Marriage,Healthcare,8
104,39,single,m,socially,sometimes,,white,100000,19/05/2012,"san francisco, california",,no,, california,35-44,california,350,76,8,34-44,Casual,Healthcare,7
105,31,single,f,socially,never,graduated from masters program,white,-1,25/06/2012,"san francisco, california","doesn't have kids, but wants them",no,, california,25-34,california,303,94,6,26-36,Casual,Healthcare,10
106,42,single,f,socially,never,graduated from masters program,white,-1,29/06/2012,"mountain view, california",has kids,no,, california,35-44,california,270,92,5,37-47,Marriage,Healthcare,3
107,45,single,f,socially,never,graduated from masters program,asian,-1,24/06/2012,"menlo park, california",doesn't have kids,no,, california,45-54,california,455,52,1,40-50,Casual,Healthcare,7
108,21,single,m,rarely,never,working on med school,white,500000,17/03/2012,"burlingame, california",,no,, california,18-24,california,461,83,8,18-26,Marriage,Healthcare,2
109,28,single,f,socially,never,graduated from law school,pacificislander,-1,30/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,214,65,8,23-33,Marriage,Healthcare,5
110,29,single,m,socially,never,graduated from college/university,white,-1,29/06/2012,"martinez, california",doesn't have kids,no,, california,25-34,california,251,50,6,24-34,Marriage,Healthcare,8
111,36,single,m,socially,,graduated from masters program,,-1,24/06/2012,"san francisco, california",,no,, california,35-44,california,189,56,7,31-41,Marriage,Healthcare,7
112,28,single,m,socially,,graduated from college/university,white,-1,29/06/2012,"oakland, california",doesn't have kids,no,, california,25-34,california,295,84,7,23-33,Serious,Healthcare,3
114,23,single,f,rarely,never,working on college/university,"black,nativeamerican,hispani",20000,28/06/2012,"san francisco, california",has a kid,when drinking,, california,18-24,california,207,97,6,18-28,Casual,Healthcare,10
115,36,seeing someone,m,often,sometimes,graduated from ph.d program,white,-1,22/03/2012,"emeryville, california",,no,, california,35-44,california,236,81,7,31-41,Marriage,Healthcare,9
116,35,single,m,socially,never,,white,-1,24/06/2012,"pleasant hill, california",,when drinking,, california,35-44,california,337,75,8,30-40,Casual,Healthcare,9
117,18,single,m,,never,,"asian,black,pacificislander",-1,24/05/2012,"hayward, california",,,, california,18-24,california,366,55,2,18-23,Casual,Healthcare,7
118,55,single,m,not at all,never,dropped out of college/university,white,-1,09/02/2012,"alameda, california",has kids,no,, california,55-64,california,52,95,8,50-60,Casual,Healthcare,5
119,21,single,f,not at all,never,working on space camp,"white,other",-1,29/06/2012,"san francisco, california",doesn't have kids,no,, california,18-24,california,279,60,2,18-26,Serious,Healthcare,6
120,28,seeing someone,f,socially,,working on college/university,white,-1,22/06/2012,"berkeley, california",,no,, california,25-34,california,409,80,9,23-33,Serious,Healthcare,5
121,24,single,m,socially,never,graduated from college/university,white,-1,28/06/2012,"san francisco, california",,no,, california,25-34,california,216,70,2,19-29,Marriage,Healthcare,8
122,50,single,m,socially,never,graduated from two-year college,white,-1,09/06/2012,"vallejo, california",has kids,no,, california,45-54,california,251,100,3,45-55,Casual,Healthcare,7
123,23,single,m,socially,sometimes,graduated from space camp,white,-1,15/06/2012,"san francisco, california",,trying to quit,, california,18-24,california,187,71,8,18-28,Serious,Healthcare,4
124,21,single,m,socially,often,working on space camp,"hispani,white",1000000,29/06/2012,"san francisco, california","doesn't have kids, and doesn't want any",sometimes,, california,18-24,california,379,50,6,18-26,Marriage,Healthcare,4
125,27,single,f,socially,never,graduated from college/university,white,-1,12/06/2012,"san francisco, california",,no,, california,25-34,california,492,70,9,22-32,Serious,Healthcare,2
126,27,single,m,socially,,graduated from college/university,asian,150000,29/02/2012,"san francisco, california",,no,, california,25-34,california,40,94,8,22-32,Casual,Healthcare,6
127,43,single,m,socially,never,graduated from college/university,white,-1,28/06/2012,"emeryville, california",,no,, california,35-44,california,156,69,6,38-48,Marriage,Healthcare,3
128,27,available,m,socially,,graduated from college/university,asian,150000,27/06/2012,"san francisco, california",,no,, california,25-34,california,14,58,3,22-32,Marriage,Healthcare,2
129,26,single,m,often,never,dropped out of space camp,white,-1,30/06/2012,"san francisco, california",doesn't want kids,trying to quit,, california,25-34,california,300,76,3,21-31,Serious,Healthcare,10
130,26,available,m,rarely,,graduated from college/university,,-1,29/01/2012,"menlo park, california",doesn't want kids,no,, california,25-34,california,64,78,2,21-31,Casual,Healthcare,10
131,30,available,m,socially,sometimes,dropped out of college/university,white,-1,29/06/2012,"san francisco, california",,yes,, california,25-34,california,344,92,8,25-35,Casual,Healthcare,5
132,32,seeing someone,f,socially,never,working on space camp,white,-1,15/05/2012,"berkeley, california",,trying to quit,, california,25-34,california,326,82,5,27-37,Casual,Healthcare,6
133,43,single,f,socially,,graduated from masters program,white,-1,29/06/2012,"san francisco, california",,no,, california,35-44,california,8,94,9,38-48,Serious,Healthcare,8
134,39,single,f,rarely,never,graduated from masters program,white,-1,12/06/2012,"san francisco, california",,no,, california,35-44,california,343,50,5,34-44,Marriage,Healthcare,9
135,22,single,m,socially,never,working on ph.d program,white,-1,30/06/2012,"berkeley, california",doesn't have kids,no,, california,18-24,california,128,52,5,18-27,Serious,Healthcare,9
136,33,single,f,,never,graduated from college/university,white,-1,29/06/2012,"san francisco, california","doesn't have kids, but wants them",no,, california,25-34,california,491,81,8,28-38,Serious,Healthcare,4
137,24,single,m,socially,,working on college/university,white,-1,24/06/2012,"berkeley, california",doesn't have kids,when drinking,, california,25-34,california,135,69,8,19-29,Serious,Healthcare,10
138,50,single,m,often,never,college/university,white,80000,29/06/2012,"benicia, california",doesn't want kids,no,, california,45-54,california,471,66,2,45-55,Serious,Healthcare,6
139,32,seeing someone,m,not at all,never,graduated from college/university,asian,-1,19/05/2012,"oakland, california",,no,, california,25-34,california,62,86,8,27-37,Serious,Healthcare,9
140,23,single,m,rarely,never,working on college/university,white,-1,15/06/2012,"castro valley, california","doesn't have kids, but might want them",no,, california,18-24,california,138,87,7,18-28,Marriage,Healthcare,7
141,32,single,f,socially,never,graduated from college/university,,-1,28/06/2012,"san francisco, california","doesn't have kids, but might want them",no,, california,25-34,california,498,98,6,27-37,Marriage,Healthcare,5
142,59,single,m,socially,never,graduated from masters program,white,80000,15/08/2011,"daly city, california",doesn't want kids,no,, california,55-64,california,80,59,3,54-64,Marriage,Other,1
143,36,single,m,often,sometimes,graduated from college/university,white,-1,29/06/2012,"oakland, california",,no,, california,35-44,california,391,92,5,31-41,Casual,Finance,2
144,29,single,m,socially,,college/university,,-1,29/06/2012,"oakland, california",doesn't have kids,no,, california,25-34,california,162,94,2,24-34,Serious,Education,9
145,39,single,f,socially,,graduated from masters program,white,-1,25/06/2012,"berkeley, california",has kids,no,, california,35-44,california,418,78,9,34-44,Casual,Healthcare,2
146,24,single,m,socially,never,graduated from college/university,"hispani,white",60000,14/06/2012,"san francisco, california",,no,, california,25-34,california,288,91,5,19-29,Serious,Education,4
147,28,single,m,desperately,often,,asian,-1,07/06/2012,"el cerrito, california",doesn't have kids,yes,, california,25-34,california,378,95,8,23-33,Marriage,Retail,6
148,50,single,m,socially,never,college/university,asian,80000,06/12/2011,"vallejo, california",has kids,no,, california,45-54,california,260,81,5,45-55,Casual,Finance,8
149,32,single,f,socially,never,graduated from college/university,white,-1,19/07/2011,"menlo park, california",,no,, california,25-34,california,489,62,9,27-37,Serious,Tech,7
150,41,single,f,socially,,college/university,white,-1,19/05/2012,"mill valley, california",,no,, california,35-44,california,230,80,1,36-46,Casual,Healthcare,9
152,44,single,m,socially,,graduated from college/university,white,-1,29/06/2012,"san francisco, california",,no,, california,45-54,california,27,98,8,39-49,Casual,Other,1
153,48,single,m,,,graduated from college/university,white,-1,29/06/2012,"oakland, california",doesn't want kids,no,, california,45-54,california,134,67,7,43-53,Marriage,Healthcare,3
154,24,available,m,socially,sometimes,graduated from two-year college,,-1,08/02/2012,"oakland, california",,trying to quit,, california,25-34,california,200,60,2,19-29,Marriage,Retail,10
155,26,single,m,not at all,never,graduated from college/university,"black,white",-1,27/06/2012,"oakland, california","doesn't have kids, but wants them",no,, california,25-34,california,327,91,2,21-31,Marriage,Education,7
156,29,single,f,socially,never,graduated from two-year college,white,-1,26/06/2012,"san mateo, california",,no,, california,25-34,california,267,67,1,24-34,Marriage,Other,7
157,40,single,f,socially,never,two-year college,other,-1,07/05/2012,"richmond, california",has a kid,,, california,35-44,california,417,100,1,35-45,Serious,Education,3
158,29,single,f,socially,never,graduated from law school,white,-1,30/05/2012,"san francisco, california",,no,, california,25-34,california,32,90,3,24-34,Marriage,Healthcare,7
159,54,single,f,socially,never,graduated from college/university,white,-1,20/06/2012,"redwood city, california",,no,, california,55-64,california,47,86,3,49-59,Serious,Healthcare,5
160,20,single,f,socially,never,working on college/university,white,-1,26/06/2012,"san rafael, california",,no,, california,18-24,california,406,82,8,18-25,Marriage,Tech,5
161,51,single,f,socially,,space camp,asian,-1,29/06/2012,"oakland, california",has kids,,, california,45-54,california,61,86,9,46-56,Marriage,Retail,10
162,33,single,f,socially,never,graduated from masters program,,-1,29/06/2012,"el cerrito, california",,,, california,25-34,california,215,52,5,28-38,Serious,Other,8
163,28,single,m,socially,,graduated from college/university,asian,-1,27/06/2012,"san francisco, california",,,, california,25-34,california,292,50,1,23-33,Casual,Retail,4
164,37,single,f,socially,,graduated from med school,,-1,22/06/2012,"san francisco, california",,,, california,35-44,california,98,68,2,32-42,Casual,Retail,4
165,20,single,m,rarely,never,working on college/university,white,-1,30/06/2012,"berkeley, california","doesn't have kids, and doesn't want any",no,, california,18-24,california,171,55,4,18-25,Serious,Education,3
166,30,single,m,,,,white,-1,28/06/2012,"san francisco, california",doesn't have kids,,, california,25-34,california,359,59,9,25-35,Serious,Healthcare,7
167,36,single,m,socially,,graduated from masters program,white,-1,29/06/2012,"san francisco, california",,no,, california,35-44,california,213,86,5,31-41,Serious,Education,7
168,26,single,f,socially,never,working on college/university,"hispani,white",20000,23/06/2012,"berkeley, california","doesn't have kids, but might want them",no,, california,25-34,california,474,61,9,21-31,Serious,Tech,4
169,26,single,f,socially,never,graduated from college/university,white,70000,18/06/2012,"san francisco, california","doesn't have kids, but wants them",no,, california,25-34,california,34,93,1,21-31,Casual,Education,1
170,33,single,f,rarely,never,graduated from college/university,,-1,27/06/2012,"oakland, california","doesn't have kids, but might want them",no,, california,25-34,california,448,66,9,28-38,Serious,Healthcare,9
171,20,seeing someone,f,socially,never,graduated from high school,white,-1,20/03/2012,"san francisco, california",,no,, california,18-24,california,226,76,8,18-25,Casual,Healthcare,3
172,31,single,m,rarely,,,,-1,30/06/2012,"san rafael, california",doesn't have kids,no,, california,25-34,california,100,51,1,26-36,Serious,Healthcare,1
173,62,single,m,socially,never,graduated from masters program,white,-1,15/05/2012,"menlo park, california",has kids,no,, california,55-64,california,430,74,7,57-65,Casual,Healthcare,8
174,33,single,f,socially,never,graduated from masters program,white,-1,28/06/2012,"san francisco, california",,no,, california,25-34,california,461,95,5,28-38,Serious,Healthcare,9
175,22,single,m,socially,never,,hispani,-1,14/10/2011,"el sobrante, california",,when drinking,, california,18-24,california,130,93,8,18-27,Marriage,Healthcare,2
176,46,single,m,socially,never,,"hispani,other",-1,24/09/2011,"san francisco, california",has a kid,,, california,45-54,california,256,77,4,41-51,Serious,Tech,1
177,27,single,m,socially,never,graduated from college/university,white,-1,27/05/2012,"walnut creek, california","doesn't have kids, but wants them",no,, california,25-34,california,4,94,2,22-32,Marriage,Tech,9
